0	61	   0.15136	1
1	33	   0.08189	2
2	27	   0.06700	3
3	19	   0.04715	4
4	19	   0.04715	5
5	8	   0.01985	6
6	21	   0.05211	7
7	4	   0.00993	8
8	9	   0.02233	9
9	9	   0.02233	10
10	8	   0.01985	11
11	8	   0.01985	12
12	9	   0.02233	13
13	5	   0.01241	14
14	7	   0.01737	15
15	11	   0.02730	16
16	4	   0.00993	17
17	1	   0.00248	18
18	3	   0.00744	19
19	6	   0.01489	20
20	4	   0.00993	21
21	6	   0.01489	22
22	2	   0.00496	23
23	2	   0.00496	24
24	2	   0.00496	25
25	3	   0.00744	26
26	5	   0.01241	27
27	5	   0.01241	28
28	4	   0.00993	29
29	4	   0.00993	30
